Period,Region,State,Year,Colony_Loss,Colony_loss_pct,Diseases_pct,Inventory,Other_causes_pct,Other_Pests_pct,Pesticides_pct,Unknown_Causes_pct,Varroa_Mites_pct
JUL THRU SEP,South,ALABAMA,2021,1400,15.00%,0.90%,9500,0.16,0.26,0.11,0.02,0.37
JUL THRU SEP,South,ALABAMA,2020,3700,19.00%,0.00%,9000,0.05,0.29,0.12,0.12,0.65
APR THRU JUN,South,ALABAMA,2016,930,0.12,0.30%,8000,0.05,0.08,0.02,0.05,0.1
JUL THRU SEP,South,ALABAMA,2019,990,14.00%,2.90%,7000,0.1,0.25,0,0.06,0.31
OCT THRU DEC,South,ALABAMA,2019,660,11.00%,0.60%,6000,0.09,0.27,0.05,0.11,0.47
APR THRU JUN,South,ALABAMA,2015,860,0.12,0.00%,7500,0.03,0.43,0.02,0.04,0.17
JAN THRU MAR,South,ALABAMA,2016,1700,0.23,4.30%,7500,0.02,0.22,0.08,0.11,0.24
JAN THRU MAR,South,ALABAMA,2021,1100,11.00%,0.00%,10000,0.03,0.3,,0.04,0.52
JUL THRU SEP,South,ALABAMA,2015,1400,0.16,0.00%,8500,0.02,0.71,0.03,0.18,0.63
JAN THRU MAR,South,ALABAMA,2020,410,6.00%,0.00%,5500,0.02,0.03,0,0.04,0.12
OCT THRU DEC,South,ALABAMA,2020,1100,6.00%,15.40%,17000,0.02,0.43,0.02,0.17,0.51
APR THRU JUN,South,ALABAMA,2020,4100,48.00%,1.60%,8500,0.08,0.18,0.08,0.1,0.29
OCT THRU DEC,South,ALABAMA,2018,830,13.00%,1.30%,6500,0.03,0.21,0.02,0.08,0.21
JAN THRU MAR,South,ALABAMA,2017,1600,23.00%,0.20%,7000,0.07,0.1,0.03,0.09,0.2
JAN THRU MAR,South,ALABAMA,2019,650,12.00%,1.80%,5500,0.03,0.23,0,0.09,0.27
JAN THRU MAR,South,ALABAMA,2022,1100,10.00%,0.00%,8000,0.11,0.17,0.04,0.05,0.37
APR THRU JUN,South,ALABAMA,2017,440,7.00%,0.00%,6500,0.09,0.14,0.04,0.05,0.18
JUL THRU SEP,South,ALABAMA,2016,1200,0.15,0.00%,8000,0.03,0.42,0.04,0.14,0.12
JUL THRU SEP,South,ALABAMA,2017,900,9.00%,0.00%,7000,0.08,0.22,0.35,0.04,0.7
OCT THRU DEC,South,ALABAMA,2017,990,13.00%,8.80%,7500,0.02,0.1,0.1,0.05,0.22
APR THRU JUN,South,ALABAMA,2022,1300,11.00%,1.00%,12000,0.18,0.14,0.07,0.04,0.36
APR THRU JUN,South,ALABAMA,2018,650,8.00%,1.30%,7000,0.09,0.27,0.14,0.02,0.25
